sender_email,subject,body,label
admin@college.edu,Workshop Registration Confirmation,Your salary for this month has been credited successfully.,0
it@office.com,Flight Ticket Confirmation,Please return the borrowed books before the due date.,0
registrar@university.edu,Campus Recruitment Drive,Your refund has been processed and will reflect in your account within 3 working days.,0
finance@urgent-transfer.com,Tax Refund Available,Your account has been locked. Click here immediately to verify your identity.,1
lottery@win-big-now.com,Tax Refund Available,Your account has been locked. Click here immediately to verify your identity.,1
admin@verify-account.org,Account Suspended,Click the secure link below to restore account access.,1
hr@company.com,System Maintenance Notice,Your admission has been confirmed. Kindly complete the remaining formalities.,0
support@amazon.in,Invoice Payment Received,We have received your invoice payment. Thank you for your business.,0
lottery@win-big-now.com,Account Suspended,Your credit card has been blocked. Reactivate immediately.,1
alert@secure-login.net,Exclusive Bonus Reward,Click the secure link below to restore account access.,1
finance@urgent-transfer.com,Urgent Password Reset,Transfer the requested funds immediately and confirm once completed.,1
finance@urgent-transfer.com,Verify Your Account Immediately,Failure to respond within 24 hours will result in account deletion.,1
security@bank-alerts.co,You Won a Prize,Your credit card has been blocked. Reactivate immediately.,1
lottery@win-big-now.com,Urgent Password Reset,Your credit card has been blocked. Reactivate immediately.,1
accounts@bankofindia.in,Interview Invitation,Your refund has been processed and will reflect in your account within 3 working days.,0
service@insurance.com,Campus Recruitment Drive,Scheduled maintenance will occur this Sunday from 1 AM to 4 AM.,0
alert@secure-login.net,Account Suspended,You have won a cash reward. Claim it before it expires.,1
billing@electricityboard.in,Flight Ticket Confirmation,Your registration for the cybersecurity workshop is confirmed.,0
support@paypaI.com,Exclusive Bonus Reward,Submit your personal details now to receive your tax refund.,1
accounts@bankofindia.in,Campus Recruitment Drive,Your refund has been processed and will reflect in your account within 3 working days.,0
alert@secure-login.net,Confidential Fund Transfer,Transfer the requested funds immediately and confirm once completed.,1
library@college.edu,Admission Confirmation Letter,Scheduled maintenance will occur this Sunday from 1 AM to 4 AM.,0
library@college.edu,Campus Recruitment Drive,Your recent order has been successfully delivered. Thank you for shopping with us.,0
placements@college.edu,System Maintenance Notice,Your recent order has been successfully delivered. Thank you for shopping with us.,0
lottery@win-big-now.com,Security Alert,Submit your personal details now to receive your tax refund.,1
update@official-verification.com,Update Banking Details,Your bank account will be permanently suspended if not verified.,1
lottery@win-big-now.com,Immediate Action Required,Your credit card has been blocked. Reactivate immediately.,1
support@paypaI.com,Tax Refund Available,We detected unusual activity. Confirm your password now to avoid suspension.,1
security@bank-alerts.co,You Won a Prize,Your credit card has been blocked. Reactivate immediately.,1
lottery@win-big-now.com,Update Banking Details,Submit your personal details now to receive your tax refund.,1
registrar@university.edu,Interview Invitation,Scheduled maintenance will occur this Sunday from 1 AM to 4 AM.,0
accounts@company.com,System Maintenance Notice,Your refund has been processed and will reflect in your account within 3 working days.,0
notice@tax-refund-alert.com,Security Alert,Transfer the requested funds immediately and confirm once completed.,1
noreply@linkedin.com,Exam Timetable Notification,We have received your invoice payment. Thank you for your business.,0
notice@tax-refund-alert.com,Update Banking Details,Transfer the requested funds immediately and confirm once completed.,1
support@paypaI.com,Account Suspended,Your bank account will be permanently suspended if not verified.,1
accounts@bankofindia.in,Order Delivery Confirmation,Your salary for this month has been credited successfully.,0
hr@company.com,Admission Confirmation Letter,Your insurance policy is due for renewal next month.,0
finance@urgent-transfer.com,Account Suspended,Your account has been locked. Click here immediately to verify your identity.,1
admin@verify-account.org,You Won a Prize,Your account has been locked. Click here immediately to verify your identity.,1
lottery@win-big-now.com,Exclusive Bonus Reward,Failure to respond within 24 hours will result in account deletion.,1
noreply@linkedin.com,Admission Confirmation Letter,Please attend the scheduled meeting tomorrow at 2 PM in the conference hall.,0
update@official-verification.com,Security Alert,You have won a cash reward. Claim it before it expires.,1
admin@verify-account.org,Verify Your Account Immediately,Your bank account will be permanently suspended if not verified.,1
support@amazon.in,System Maintenance Notice,Your insurance policy is due for renewal next month.,0
admin@verify-account.org,Update Banking Details,We detected unusual activity. Confirm your password now to avoid suspension.,1
security@bank-alerts.co,Account Suspended,Your credit card has been blocked. Reactivate immediately.,1
careers@startup.in,Exam Timetable Notification,The semester examination timetable has been uploaded to the official website.,0
notice@tax-refund-alert.com,Urgent Password Reset,Provide your OTP to complete the verification process.,1
registrar@university.edu,Library Due Reminder,"Dear Candidate, We are pleased to invite you for the next round of interview.",0
security@bank-alerts.co,Update Banking Details,Your account has been locked. Click here immediately to verify your identity.,1
service@insurance.com,Application Received Confirmation,The semester examination timetable has been uploaded to the official website.,0
security@bank-alerts.co,Exclusive Bonus Reward,Submit your personal details now to receive your tax refund.,1
admin@college.edu,Flight Ticket Confirmation,Please attend the scheduled meeting tomorrow at 2 PM in the conference hall.,0
billing@electricityboard.in,Workshop Registration Confirmation,"Dear Candidate, We are pleased to invite you for the next round of interview.",0
accounts@bankofindia.in,Order Delivery Confirmation,Your flight booking has been confirmed. Please carry valid ID proof.,0
admin@college.edu,System Maintenance Notice,The semester examination timetable has been uploaded to the official website.,0
admin@college.edu,Campus Recruitment Drive,Your recent order has been successfully delivered. Thank you for shopping with us.,0
lottery@win-big-now.com,Account Suspended,Submit your personal details now to receive your tax refund.,1
customer.service@airlines.com,Library Due Reminder,Your monthly bank account statement is available in the official portal.,0
admin@verify-account.org,Confidential Fund Transfer,Your credit card has been blocked. Reactivate immediately.,1
accounts@bankofindia.in,Invoice Payment Received,Your flight booking has been confirmed. Please carry valid ID proof.,0
billing@electricityboard.in,Campus Recruitment Drive,Your registration for the cybersecurity workshop is confirmed.,0
security@bank-alerts.co,Exclusive Bonus Reward,We detected unusual activity. Confirm your password now to avoid suspension.,1
library@college.edu,Salary Credit Notification,Please return the borrowed books before the due date.,0
support@amazon.in,Policy Renewal Reminder,The semester examination timetable has been uploaded to the official website.,0
admin@college.edu,Order Delivery Confirmation,Your registration for the cybersecurity workshop is confirmed.,0
placements@college.edu,Exam Timetable Notification,"Dear Candidate, We are pleased to invite you for the next round of interview.",0
it@office.com,Workshop Registration Confirmation,Scheduled maintenance will occur this Sunday from 1 AM to 4 AM.,0
accounts@company.com,System Maintenance Notice,"Dear Candidate, We are pleased to invite you for the next round of interview.",0
finance@urgent-transfer.com,Exclusive Bonus Reward,Your bank account will be permanently suspended if not verified.,1
security@bank-alerts.co,Update Banking Details,We detected unusual activity. Confirm your password now to avoid suspension.,1
security@bank-alerts.co,Account Suspended,Provide your OTP to complete the verification process.,1
service@insurance.com,Invoice Payment Received,"Dear Candidate, We are pleased to invite you for the next round of interview.",0
careers@startup.in,Invoice Payment Received,Please return the borrowed books before the due date.,0
lottery@win-big-now.com,Tax Refund Available,Transfer the requested funds immediately and confirm once completed.,1
accounts@company.com,Workshop Registration Confirmation,Scheduled maintenance will occur this Sunday from 1 AM to 4 AM.,0
admin@verify-account.org,Account Suspended,Transfer the requested funds immediately and confirm once completed.,1
reward@claim-bonus-now.com,Security Alert,Your account has been locked. Click here immediately to verify your identity.,1
customer.service@airlines.com,Workshop Registration Confirmation,Your recent order has been successfully delivered. Thank you for shopping with us.,0
accounts@bankofindia.in,Exam Timetable Notification,Your recent order has been successfully delivered. Thank you for shopping with us.,0
support@amazon.in,Library Due Reminder,We have received your invoice payment. Thank you for your business.,0
lottery@win-big-now.com,Security Alert,Your bank account will be permanently suspended if not verified.,1
support@amazon.in,Interview Invitation,Your insurance policy is due for renewal next month.,0
update@official-verification.com,Immediate Action Required,Click the secure link below to restore account access.,1
accounts@bankofindia.in,Invoice Payment Received,Scheduled maintenance will occur this Sunday from 1 AM to 4 AM.,0
notice@tax-refund-alert.com,Confidential Fund Transfer,Transfer the requested funds immediately and confirm once completed.,1
billing@electricityboard.in,Policy Renewal Reminder,Your registration for the cybersecurity workshop is confirmed.,0
finance@urgent-transfer.com,Verify Your Account Immediately,Your credit card has been blocked. Reactivate immediately.,1
finance@urgent-transfer.com,Exclusive Bonus Reward,Provide your OTP to complete the verification process.,1
support@paypaI.com,Verify Your Account Immediately,Failure to respond within 24 hours will result in account deletion.,1
ceo@company-secure.com,Exclusive Bonus Reward,Your bank account will be permanently suspended if not verified.,1
admin@verify-account.org,Immediate Action Required,Your account has been locked. Click here immediately to verify your identity.,1
hr@company.com,Invoice Payment Received,Your salary for this month has been credited successfully.,0
hr@company.com,Flight Ticket Confirmation,Your recent order has been successfully delivered. Thank you for shopping with us.,0
careers@startup.in,Policy Renewal Reminder,The semester examination timetable has been uploaded to the official website.,0
reward@claim-bonus-now.com,Tax Refund Available,You have won a cash reward. Claim it before it expires.,1
registrar@university.edu,Exam Timetable Notification,Your salary for this month has been credited successfully.,0
finance@urgent-transfer.com,Exclusive Bonus Reward,Your credit card has been blocked. Reactivate immediately.,1
admin@college.edu,Flight Ticket Confirmation,Your refund has been processed and will reflect in your account within 3 working days.,0
update@official-verification.com,Security Alert,Click the secure link below to restore account access.,1
library@college.edu,Campus Recruitment Drive,Please return the borrowed books before the due date.,0
ceo@company-secure.com,You Won a Prize,Submit your personal details now to receive your tax refund.,1
noreply@linkedin.com,Admission Confirmation Letter,Please return the borrowed books before the due date.,0
noreply@linkedin.com,System Maintenance Notice,Please attend the scheduled meeting tomorrow at 2 PM in the conference hall.,0
placements@college.edu,Order Delivery Confirmation,Your monthly bank account statement is available in the official portal.,0
finance@urgent-transfer.com,Urgent Password Reset,Your credit card has been blocked. Reactivate immediately.,1
security@bank-alerts.co,You Won a Prize,Submit your personal details now to receive your tax refund.,1
update@official-verification.com,Immediate Action Required,Failure to respond within 24 hours will result in account deletion.,1
reward@claim-bonus-now.com,Tax Refund Available,Click the secure link below to restore account access.,1
careers@startup.in,System Maintenance Notice,Please attend the scheduled meeting tomorrow at 2 PM in the conference hall.,0
accounts@company.com,Interview Invitation,Your registration for the cybersecurity workshop is confirmed.,0
reward@claim-bonus-now.com,Exclusive Bonus Reward,Your bank account will be permanently suspended if not verified.,1
accounts@bankofindia.in,Refund Processed Successfully,Your recent order has been successfully delivered. Thank you for shopping with us.,0
careers@startup.in,Policy Renewal Reminder,We have received your invoice payment. Thank you for your business.,0
